"","teacher","posterior","p","prior"
"144","Kris",0.00145517426315557,0.434343434343434,0.375007343375984
"145","Kris",0.00166890351828263,0.444444444444444,0.410759442312029
"146","Kris",0.0019071765894831,0.454545454545455,0.448773865706621
"147","Kris",0.00217176967298909,0.464646464646465,0.4890573375405
"148","Kris",0.00246444004467125,0.474747474747475,0.531599078516411
"149","Kris",0.0027869018580544,0.484848484848485,0.576369350922129
"150","Kris",0.00314079968416109,0.494949494949495,0.62331812676387
"151","Kris",0.00352768001160505,0.505050505050505,0.672373911076882
"152","Kris",0.003948960993122,0.515151515151515,0.723442752168763
"153","Kris",0.00440590079313001,0.525252525252525,0.776407469714557
"154","Kris",0.00489956495819997,0.535353535353535,0.831127130064351
"155","Kris",0.00543079329658329,0.545454545454546,0.887436795823138
"156","Kris",0.00600016681217896,0.555555555555556,0.945147573716561
"157","Kris",0.00660797529046476,0.565656565656566,1.00404698098147
"158","Kris",0.00725418617691775,0.575757575757576,1.0638996460541
"159","Kris",0.00793841542033531,0.585858585858586,1.12444835422921
"160","Kris",0.00865990097241261,0.595959595959596,1.18541544330887
"161","Kris",0.00941747963932847,0.606060606060606,1.24650454814801
"162","Kris",0.0102095679696171,0.616161616161616,1.30740268655166
"163","Kris",0.0110341478342888,0.626262626262626,1.36778267231747
"164","Kris",0.0118887573094476,0.636363636363636,1.42730583449203
"165","Kris",0.012770487408442,0.646464646464647,1.48562501527487
"166","Kris",0.0136759851302586,0.656565656565657,1.54238781261995
"167","Kris",0.0146014631943528,0.666666666666667,1.59724002761176
"168","Kris",0.0155427167208234,0.676767676767677,1.64982927129089
"169","Kris",0.0164951469907317,0.686868686868687,1.69980868092091
"170","Kris",0.0174537922868603,0.696969696969697,1.74684069186327
"171","Kris",0.0184133656731574,0.707070707070707,1.79060080837959
"172","Kris",0.0193682994247524,0.717171717171717,1.83078131491128
"173","Kris",0.0203127956732622,0.727272727272727,1.86709486876989
"174","Kris",0.0212408826878475,0.737373737373737,1.89927791575498
"175","Kris",0.0221464760749172,0.747474747474748,1.927093872019
"176","Kris",0.023023444052288,0.757575757575758,1.95033601850643
"177","Kris",0.0238656758406052,0.767676767676768,1.968830058464
"178","Kris",0.0246671521193004,0.777777777777778,1.98243629377544
"179","Kris",0.025422016419287,0.787878787878788,1.99105138211385
"180","Kris",0.0261246462725052,0.797979797979798,1.99460964399663
"181","Kris",0.0267697229112783,0.808080808080808,1.99308389661905
"182","Kris",0.0273522983095491,0.818181818181818,1.98648579965871
"183","Kris",0.0278678583840478,0.828282828282828,1.97486570689721
"184","Kris",0.0283123812261936,0.838383838383838,1.95831202630055
"185","Kris",0.0286823893141984,0.848484848484849,1.93695009993367
"186","Kris",0.0289749947578485,0.858585858585859,1.91094062355974
"187","Kris",0.0291879367535235,0.868686868686869,1.88047763379714
"188","Kris",0.0293196105712803,0.878787878787879,1.84578609809849
"189","Kris",0.0293690875558396,0.888888888888889,1.80711914941372
"190","Kris",0.0293361257951868,0.898989898989899,1.76475501306292
"191","Kris",0.0292211712900185,0.909090909090909,1.71899367795972
"192","Kris",0.0290253496400123,0.919191919191919,1.67015336780563
"193","Kris",0.0287504484443809,0.929292929292929,1.61856687016356
"194","Kris",0.0283988907899601,0.939393939393939,1.5645777823896
"195","Kris",0.0279737003659382,0.94949494949495,1.50853673326131
"196","Kris",0.0274784588963451,0.95959595959596,1.45079763782514
"197","Kris",0.0269172567160816,0.96969696969697,1.39171404055856
"198","Kris",0.0262946374306292,0.97979797979798,1.33163559849518
"199","Kris",0.025615537691265,0.98989898989899,1.27090475160574
"200","Kris",0.0248852231849116,1,1.20985362259572
"201","Josh",0,0,0.000669151128824427
"202","Josh",2.27106626694727e-282,0.0101010101010101,0.000817912006377329
"203","Josh",2.74055628546392e-234,0.0202020202020202,0.000997197476420733
"204","Josh",3.36037646721117e-206,0.0303030303030303,0.00121268492019622
"205","Josh",2.67691735157127e-186,0.0404040404040404,0.00147098079425061
"206","Josh",6.93984425614381e-171,0.0505050505050505,0.00177974690631534
"207","Josh",2.60307189526634e-158,0.0606060606060606,0.00214783893054545
"208","Josh",1.06928526051871e-147,0.0707070707070707,0.00258545743371041
"209","Josh",1.61015789928386e-138,0.0808080808080808,0.00310431149583204
"210","Josh",1.93746840535803e-130,0.0909090909090909,0.00371779477938901
"211","Josh",3.17139510593274e-123,0.101010101010101,0.00444117362774295
"212","Josh",1.03206208626557e-116,0.111111111111111,0.0052917864537283
"213","Josh",8.83613619420578e-111,0.121212121212121,0.00628925331208086
"214","Josh",2.46205611019816e-105,0.131313131313131,0.00745569413431345
"215","Josh",2.63394395859144e-100,0.141414141414141,0.00881595364281772
"216","Josh",1.23335868906873e-95,0.151515151515152,0.0103978304549199
"217","Josh",2.80934752758342e-91,0.161616161616162,0.0122323073415919
"218","Josh",3.39353563529517e-87,0.171717171717172,0.0143537790256792
"219","Josh",2.33496420650638e-83,0.181818181818182,0.016800273299081
"220","Josh",9.7159810998774e-80,0.191919191919192,0.0196136606177523
"221","Josh",2.57190135342195e-76,0.202020202020202,0.0228398467104084
"222","Josh",4.52203936761923e-73,0.212121212121212,0.026528942126438
"223","Josh",5.48084769438006e-70,0.222222222222222,0.030735402068057
"224","Josh",4.72881910055918e-67,0.232323232323232,0.0355181293205587
"225","Josh",2.98684384687377e-64,0.242424242424242,0.0409405326339362
"226","Josh",1.41542934747326e-61,0.252525252525253,0.047070532542015
"227","Josh",5.14249242774347e-59,0.262626262626263,0.0539805063555019
"228","Josh",1.4601130817445e-56,0.272727272727273,0.0617471639576055
"229","Josh",3.29551967192838e-54,0.282828282828283,0.0704513460895682
"230","Josh",6.0033176816955e-52,0.292929292929293,0.0801777370622726
"231","Josh",8.94765154445999e-50,0.303030303030303,0.0910144842910664
"232","Josh",1.10459098092986e-47,0.313131313131313,0.103052717743562
"233","Josh",1.14201546821159e-45,0.323232323232323,0.116385963330423
"234","Josh",9.98771769627289e-44,0.333333333333333,0.131109445468548
"235","Josh",7.45634853974413e-42,0.343434343434343,0.147319275510651
"236","Josh",4.7911066853601e-40,0.353535353535354,0.165111524464828
"237","Josh",2.66968958924759e-38,0.363636363636364,0.184581180414643
"238","Josh",1.29891899637148e-36,0.373737373737374,0.205820993279369
"239","Josh",5.55297445255513e-35,0.383838383838384,0.228920212001207
"240","Josh",2.09791464073635e-33,0.393939393939394,0.25396322187902
"241","Josh",7.04136954309901e-32,0.404040404040404,0.281028092544719
"242","Josh",2.10976478788074e-30,0.414141414141414,0.310185049948438
"243","Josh",5.66823090701882e-29,0.424242424242424,0.341494888623544
"244","Josh",1.37110286401003e-27,0.434343434343434,0.375007343375984
"245","Josh",2.99730087870995e-26,0.444444444444444,0.410759442312029
"246","Josh",5.94189512394638e-25,0.454545454545455,0.448773865706621
"247","Josh",1.0715889829966e-23,0.464646464646465,0.4890573375405
"248","Josh",1.76319722715563e-22,0.474747474747475,0.531599078516411
"249","Josh",2.65398153763163e-21,0.484848484848485,0.576369350922129
"250","Josh",3.6633218223527e-20,0.494949494949495,0.62331812676387
"251","Josh",4.64723822492144e-19,0.505050505050505,0.672373911076882
"252","Josh",5.42914840063234e-18,0.515151515151515,0.723442752168763
"253","Josh",5.85161352515583e-17,0.525252525252525,0.776407469714557
"254","Josh",5.82822817325944e-16,0.535353535353535,0.831127130064351
"255","Josh",5.37213445749932e-15,0.545454545454546,0.887436795823138
"256","Josh",4.58842879186656e-14,0.555555555555556,0.945147573716561
"257","Josh",3.63556584356175e-13,0.565656565656566,1.00404698098147
"258","Josh",2.67474850851423e-12,0.575757575757576,1.0638996460541
"259","Josh",1.82867861195568e-11,0.585858585858586,1.12444835422921
"260","Josh",1.16253078139067e-10,0.595959595959596,1.18541544330887
"261","Josh",6.87513677881341e-10,0.606060606060606,1.24650454814801
"262","Josh",3.78348479620233e-09,0.616161616161616,1.30740268655166
"263","Josh",1.93769437598911e-08,0.626262626262626,1.36778267231747
"264","Josh",9.23490282105292e-08,0.636363636363636,1.42730583449203
"265","Josh",4.09470928397116e-07,0.646464646464647,1.48562501527487
"266","Josh",1.68834751246147e-06,0.656565656565657,1.54238781261995
"267","Josh",6.46936916535079e-06,0.666666666666667,1.59724002761176
"268","Josh",2.30164828488724e-05,0.676767676767677,1.64982927129089
"269","Josh",7.5945629884609e-05,0.686868686868687,1.69980868092091
"270","Josh",0.000232085412555018,0.696969696969697,1.74684069186327
"271","Josh",0.000655754750675447,0.707070707070707,1.79060080837959
"272","Josh",0.00170966021034369,0.717171717171717,1.83078131491128
"273","Josh",0.00410318595359971,0.727272727272727,1.86709486876989
"274","Josh",0.00903994332007142,0.737373737373737,1.89927791575498
"275","Josh",0.0182234543742645,0.747474747474748,1.927093872019
"276","Josh",0.0334866047370024,0.757575757575758,1.95033601850643
"277","Josh",0.0558435619446333,0.767676767676768,1.968830058464
"278","Josh",0.0840832492237428,0.777777777777778,1.98243629377544
"279","Josh",0.113627759938138,0.787878787878788,1.99105138211385
"280","Josh",0.136856271245598,0.797979797979798,1.99460964399663
"281","Josh",0.145711115186009,0.808080808080808,1.99308389661905
"282","Josh",0.135823846763107,0.818181818181818,1.98648579965871
"283","Josh",0.109583535783302,0.828282828282828,1.97486570689721
"284","Josh",0.0754863382845058,0.838383838383838,1.95831202630055
"285","Josh",0.0436721319433911,0.848484848484849,1.93695009993367
"286","Josh",0.0208004633740151,0.858585858585859,1.91094062355974
"287","Josh",0.00795792983878841,0.868686868686869,1.88047763379714
"288","Josh",0.00237181868661714,0.878787878787879,1.84578609809849
"289","Josh",0.000529747254916591,0.888888888888889,1.80711914941372
"290","Josh",8.43369390076131e-05,0.898989898989899,1.76475501306292
